route_id,service_id,trip_id,trip_headsign,"trip_short_name",direction_id,block_id,shape_id
"537_1009","everyday","4660",,,,,"537_1009"
"109_810","everyday","1727",,,,,"109_810"
"109_810","everyday","1728",,,,,"109_810"
"109_810","everyday","1729",,,,,"109_810"
"109_810","everyday","1730",,,,,"109_810"
"109_830","everyday","1731",,,,,"109_830"
"109_830","everyday","1732",,,,,"109_830"
"109_830","everyday","1733",,,,,"109_830"
"109_830","everyday","1734",,,,,"109_830"
"456_839","242","1737",,,,,"456_839"
"456_839","everyday","1738",,,,,"456_839"
"456_839","242","1739",,,,,"456_839"
"456_839","242","1740",,,,,"456_839"
"456_839","233","5536",,,,,"456_839"
"456_840","242","1742",,,,,"456_840"
"456_840","everyday","1743",,,,,"456_840"
"456_840","242","1744",,,,,"456_840"
"456_840","242","1745",,,,,"456_840"
"456_840","233","5537",,,,,"456_840"
"456_1019","243","3699",,,,,"456_1019"
"456_860","243","1789",,,,,"456_860"
"456_860","243","4331",,,,,"456_860"
"629_1342","4","6270",,,,,"629_1342"
"629_1342","4","6271",,,,,"629_1342"
"629_1343","4","6272",,,,,"629_1343"
"629_1343","4","6273",,,,,"629_1343"
"214_331","everyday","1174",,,,,"214_331"
"214_331","everyday","1175",,,,,"214_331"
"214_331","everyday","1176",,,,,"214_331"
"214_331","17","1177",,,,,"214_331"
"214_331","everyday","1178",,,,,"214_331"
"214_331","everyday","1179",,,,,"214_331"
"214_331","17","1180",,,,,"214_331"
"214_332","17","1181",,,,,"214_332"
"214_332","everyday","1182",,,,,"214_332"
"214_332","everyday","1183",,,,,"214_332"
"214_332","everyday","1184",,,,,"214_332"
"214_332","everyday","1185",,,,,"214_332"
"214_332","everyday","1186",,,,,"214_332"
"185_287","15","798",,,,,"185_287"
"185_287","15","799",,,,,"185_287"
"185_287","everyday","801",,,,,"185_287"
"185_287","everyday","803",,,,,"185_287"
"185_287","everyday","805",,,,,"185_287"
"185_287","everyday","806",,,,,"185_287"
"185_287","everyday","807",,,,,"185_287"
"185_287","everyday","808",,,,,"185_287"
"185_287","everyday","809",,,,,"185_287"
"185_287","everyday","810",,,,,"185_287"
"185_287","everyday","811",,,,,"185_287"
"185_287","everyday","812",,,,,"185_287"
"185_287","everyday","813",,,,,"185_287"
"185_287","15","815",,,,,"185_287"
"185_287","everyday","1260",,,,,"185_287"
"185_287","15","1523",,,,,"185_287"
"185_287","everyday","4184",,,,,"185_287"
"185_287","everyday","6310",,,,,"185_287"
"185_287","everyday","6311",,,,,"185_287"
"185_287","17","6312",,,,,"185_287"
"185_288","15","817",,,,,"185_288"
"185_288","15","818",,,,,"185_288"
"185_288","everyday","819",,,,,"185_288"
"185_288","everyday","820",,,,,"185_288"
"185_288","everyday","821",,,,,"185_288"
"185_288","everyday","822",,,,,"185_288"
"185_288","everyday","824",,,,,"185_288"
"185_288","everyday","825",,,,,"185_288"
"185_288","everyday","827",,,,,"185_288"
"185_288","everyday","828",,,,,"185_288"
"185_288","everyday","829",,,,,"185_288"
"185_288","everyday","830",,,,,"185_288"
"185_288","everyday","831",,,,,"185_288"
"185_288","everyday","832",,,,,"185_288"
"185_288","15","834",,,,,"185_288"
"185_288","15","1524",,,,,"185_288"
"185_288","everyday","4185",,,,,"185_288"
"185_288","17","4186",,,,,"185_288"
"185_288","everyday","5044",,,,,"185_288"
"185_288","everyday","6313",,,,,"185_288"
"185_551","16","835",,,,,"185_551"
"215_333","4","1104",,,,,"215_333"
"215_333","everyday","1106",,,,,"215_333"
"215_333","everyday","3882",,,,,"215_333"
"215_334","4","1112",,,,,"215_334"
"215_334","everyday","1114",,,,,"215_334"
"215_334","everyday","3883",,,,,"215_334"
"215_334","4","3884",,,,,"215_334"
"215_732","everyday","1349",,,,,"215_732"
"215_732","everyday","3887",,,,,"215_732"
"215_733","everyday","3888",,,,,"215_733"
"215_733","everyday","3889",,,,,"215_733"
"213_329","everyday","1220",,,,,"213_329"
"213_329","everyday","1221",,,,,"213_329"
"213_329","everyday","1222",,,,,"213_329"
"213_329","everyday","1223",,,,,"213_329"
"213_329","everyday","1224",,,,,"213_329"
"213_329","4","1225",,,,,"213_329"
"213_329","everyday","1226",,,,,"213_329"
