stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,zone_id,location_type,parent_station,stop_timezone
"P3347",,"長池親水公園前","",35.427403,138.869226,,,0,,"Asia/Tokyo"
"P3340",,"長池入口","",35.428090,138.863851,,,0,,"Asia/Tokyo"
"P3341",,"大出山入口","",35.428811,138.858733,,,0,,"Asia/Tokyo"
"P4264",,"敷島営業所（甲斐市）","",35.688241,138.521354,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4265",,"敷島中学校西口（甲斐市）","",35.686940,138.523425,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4266",,"事業団住宅入口（甲斐市）","",35.684762,138.522953,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4260",,"金の宮住宅入口（甲斐市）","",35.684848,138.519509,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4261",,"敷島（甲斐市）","",35.685009,138.518345,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4257",,"松島団地（甲斐市）","",35.680817,138.519080,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4320",,"さつきの団地（甲斐市）","",35.677738,138.520142,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4256",,"大下条西（甲斐市）","",35.675235,138.521757,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1259",,"竜王駅（甲斐市）","",35.668436,138.519793,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1260",,"山梨中央銀行竜王支店前（甲斐市）","",35.664544,138.518393,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1261",,"甲斐市役所竜王庁舎（甲斐市）","",35.660469,138.517084,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1262",,"竜王中学校（甲斐市）","",35.654607,138.515794,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1263",,"JA玉幡集荷場（甲斐市）","",35.649877,138.516427,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1264",,"JA玉幡支所（甲斐市）","",35.643251,138.518543,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1265",,"Kai・遊・パーク入口（甲斐市）","",35.639918,138.519731,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1266",,"玉川東区・小作前（甲斐市）","",35.635962,138.521204,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1267",,"玉川西区（甲斐市）","",35.632668,138.522588,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1268",,"玉川団地西（甲斐市）","",35.631916,138.529379,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1269",,"イオンモール甲府昭和前（甲斐市）","",35.623949,138.527862,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P1270",,"山梨大学医学部附属病院（甲斐市）","",35.610352,138.539000,,http://www.city.kai.yamanashi.jp/koukyoukoutuu/shimin-bus.html,0,,"Asia/Tokyo"
"P4342",,"シルクふれんどりぃ（中央市コミュニティバス）","",35.561174,138.553366,,,0,,"Asia/Tokyo"
"P4343",,"法乗寺（中央市コミュニティバス）","",35.563452,138.557940,,,0,,"Asia/Tokyo"
"P4344",,"豊富(中央市コミュニティバス)","",35.567000,138.562824,,,0,,"Asia/Tokyo"
"P4198",,"木原（中央市コミュニティバス）","",35.568921,138.558417,,,0,,"Asia/Tokyo"
"P4197",,"中央市役所豊富庁舎（中央市コミュニティバス）","",35.571157,138.556164,,,0,,"Asia/Tokyo"
"P4196",,"豊富診療所（中央市コミュニティバス）","",35.573247,138.554077,,,0,,"Asia/Tokyo"
"P4195",,"作興橋（中央市コミュニティバス）","",35.576297,138.550472,,,0,,"Asia/Tokyo"
"P4194",,"浅利上（中央市コミュニティバス）","",35.580067,138.548219,,,0,,"Asia/Tokyo"
"P4193",,"浅利下（中央市コミュニティバス）","",35.583513,138.547972,,,0,,"Asia/Tokyo"
"P4894",,"道の駅とよとみ（中央市コミュニティバス）","",35.584805,138.545560,,,0,,"Asia/Tokyo"
"P4192",,"志村整骨院前（中央市コミュニティバス）","",35.590458,138.542251,,,0,,"Asia/Tokyo"
"P4191",,"玉穂商会車両置場（中央市コミュニティバス）","",35.591523,138.536273,,,0,,"Asia/Tokyo"
"P4190",,"桜団地入口（中央市コミュニティバス）","",35.592177,138.529610,,,0,,"Asia/Tokyo"
"P4189",,"東花輪駅（中央市コミュニティバス）","",35.594530,138.526424,,,0,,"Asia/Tokyo"
"P4188",,"東団地入口（中央市コミュニティバス）","",35.597102,138.526810,,,0,,"Asia/Tokyo"
"P4187",,"下三條（中央市コミュニティバス）","",35.597399,138.529422,,,0,,"Asia/Tokyo"
"P4186",,"玉穂南小学校（中央市コミュニティバス）","",35.596751,138.536696,,,0,,"Asia/Tokyo"
"P4185",,"ふるさとふれあい広場西（中央市コミュニティバス）","",35.596941,138.543380,,,0,,"Asia/Tokyo"
"P4184",,"パンセ入口（中央市コミュニティバス）","",35.599715,138.545086,,,0,,"Asia/Tokyo"
"P4183",,"中央市役所玉穂庁舎（中央市コミュニティバス）","",35.602218,138.545462,,,0,,"Asia/Tokyo"
"P4182",,"成島交差点南（中央市コミュニティバス）","",35.605647,138.546084,,,0,,"Asia/Tokyo"
"P4326",,"成島交番前（中央市コミュニティバス）","",35.609097,138.544443,,,0,,"Asia/Tokyo"
"P4328",,"イッツモア玉穂ショッピングセンター（中央市コミュニティバス）","",35.610697,138.542211,,,0,,"Asia/Tokyo"
"P4179",,"山梨大学医学部附属病院（中央市コミュニティバス）","",35.610291,138.539094,,,0,,"Asia/Tokyo"
"P4177",,"イオンタウン西（中央市コミュニティバス）","",35.608342,138.540886,,,0,,"Asia/Tokyo"
"P4176",,"下河東（中央市コミュニティバス）","",35.605295,138.535465,,,0,,"Asia/Tokyo"
